epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
130,7648.32,0.59726,0.31943,0.9587,0.98435,0.99138,0.99392,0.86341,0.57655,0.28704,0.88369,0.0002972,0.0002972,0.0002972
131,7708.35,0.59527,0.31714,0.95593,0.9846,0.99234,0.99391,0.86131,0.58324,0.28148,0.88593,0.000284,0.000284,0.000284
132,7765.67,0.59456,0.31477,0.9595,0.98461,0.99278,0.99369,0.85461,0.60172,0.28556,0.88947,0.0002708,0.0002708,0.0002708
133,7822.9,0.58526,0.31617,0.9566,0.98409,0.9931,0.994,0.85979,0.59266,0.28936,0.89201,0.0002576,0.0002576,0.0002576
134,7883.66,0.58709,0.31287,0.94941,0.98291,0.9931,0.99412,0.85991,0.58699,0.28427,0.88648,0.0002444,0.0002444,0.0002444
135,7942.26,0.58538,0.30939,0.95139,0.98433,0.9931,0.99392,0.85457,0.61444,0.28611,0.89051,0.0002312,0.0002312,0.0002312
136,8000.75,0.58288,0.30805,0.95348,0.98355,0.9931,0.994,0.8645,0.58111,0.2793,0.88343,0.000218,0.000218,0.000218
137,8059.02,0.59364,0.31382,0.95379,0.98461,0.99281,0.9935,0.85739,0.59111,0.2835,0.89069,0.0002048,0.0002048,0.0002048
138,8119.4,0.58258,0.30787,0.9534,0.9863,0.99277,0.99405,0.85784,0.58863,0.28549,0.88702,0.0001916,0.0001916,0.0001916
139,8176.42,0.57947,0.3074,0.94766,0.98733,0.9931,0.99412,0.85965,0.59643,0.28279,0.88896,0.0001784,0.0001784,0.0001784
140,8235.83,0.5738,0.30407,0.94364,0.9845,0.9931,0.99407,0.86266,0.59162,0.28231,0.88606,0.0001652,0.0001652,0.0001652
141,8298.42,0.52897,0.27197,0.91884,0.9873,0.98793,0.99373,0.85912,0.5916,0.28477,0.88451,0.000152,0.000152,0.000152
142,8354.24,0.52579,0.25724,0.92622,0.98457,0.99024,0.99371,0.85283,0.60296,0.28937,0.88666,0.0001388,0.0001388,0.0001388
143,8411.27,0.50597,0.25006,0.90875,0.98963,0.98707,0.99357,0.84765,0.61625,0.29221,0.89098,0.0001256,0.0001256,0.0001256
144,8467.96,0.50023,0.25009,0.90988,0.98758,0.98793,0.99342,0.85286,0.6063,0.28798,0.88631,0.0001124,0.0001124,0.0001124
145,8525.2,0.49549,0.24635,0.91034,0.98621,0.98651,0.99356,0.86554,0.5766,0.28345,0.88147,9.92e-05,9.92e-05,9.92e-05
146,8584.12,0.50285,0.24967,0.91655,0.98749,0.98621,0.99315,0.86039,0.58464,0.28401,0.88393,8.6e-05,8.6e-05,8.6e-05
147,8641.35,0.49977,0.24638,0.9084,0.98722,0.98621,0.99334,0.86103,0.58738,0.28439,0.88328,7.28e-05,7.28e-05,7.28e-05
148,8698.49,0.4988,0.24517,0.91187,0.98588,0.98966,0.99311,0.86455,0.58423,0.27968,0.88127,5.96e-05,5.96e-05,5.96e-05
149,8757,0.49161,0.24238,0.90609,0.98625,0.98947,0.99338,0.86669,0.5714,0.27554,0.87901,4.64e-05,4.64e-05,4.64e-05
150,8814.16,0.49651,0.24234,0.90234,0.98625,0.98949,0.99351,0.86326,0.57977,0.27678,0.88021,3.32e-05,3.32e-05,3.32e-05
